French,English
partie,part
seulement,only
police,police
pensais,thought
aide,help
demande,kind
genre,month
mois,brother
frère,let
laisser,because
car,to put
mettre,no
eux,city
ville,each
chaque,speak
parlé,come
arrivé,should
devrait,baby
bébé,hours
heures,will
vont,while
pendant,meet again
revoir,any
aucune,square
place,speak
parle,understood
compris,knew
savais,were
étaient,Warning
attention,here is
voici,could
pourrais,case
affaire,give
donner,type
type,their
leurs,given
donné,train
train,body
corps,place
endroit,eyes
yeux,way
dont,find
trouve,first
premier,lost
perdu,hand
main,first
première,side
côté,power
pouvoir,old
vieux,be
sois,here
tiens,morning
matin,so much
tellement,child
enfant,point
point,came
venu,after
suite,sorry
pardon,come
venez,towards
vers,minutes
minutes,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
